Date,city,state_id,Venue,Rating,Level,state_name,county_name,lat,lng,population,density,source,zips,id
"May 8, 2019",Panama City Beach,FL,Aaron Bessant Park Amphitheater,Neutral,0,Florida,Bay,30.2369,-85.8774,12757.0,255.0,polygon,32407 32413 32417,1840013635
"May 20, 2019",Montoursville,PA,Williamsport Regional Airport,Negative,-7,Pennsylvania,Lycoming,41.2472,-76.9184,4444.0,475.0,polygon,17754,1840079424
"June 18, 2019",Orlando,FL,Amway Center,Negative,-3,Florida,Orange,28.4772,-81.3369,1776841.0,982.0,polygon,32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32811 32814 32812 32802 32853 32854 32856 32861 32862 32872 32877 32885 32886 32891 32896 32897,1840012172
"July 17, 2019",Greenville,NC,Williams Arena,Negative,-1,North Carolina,Pitt,35.5956,-77.3768,128385.0,998.0,polygon,27834 27858 27833 27835 27836,1840064446
"August 1, 2019",Cincinnati,OH,U.S. Bank Arena,Negative,-5,Ohio,Hamilton,39.1412,-84.506,1648254.0,1493.0,polygon,45219 45213 45212 45211 45217 45216 45214 45233 45225 45237 45229 45226 45227 45224 45232 45230 45204 45205 45206 45207 45202 45203 45208 45209 45223 45239 45238 45220 45201 45221 45250 45254 45262 45263 45264 45267 45268 45269 45270 45271 45273 45274 45275 45296 45299,1840068743
"August 15, 2019",Manchester,NH,SNHU Arena,Negative,-20,New Hampshire,Hillsborough,42.9848,-71.4447,160742.0,1298.0,polygon,03109 03104 03101 03103 03102 03105 03108 03111,1840051686
"September 9, 2019",Fayetteville,NC,Crown Expo Center,Negative,-3,North Carolina,Cumberland,35.0846,-78.9776,324700.0,548.0,polygon,28304 28305 28306 28307 28301 28303 28308 28390 28311 28310 28314 28302 28309,1840063173
"September 16, 2019",Rio Rancho,NM,Santa Ana Star Center,Negative,-16,New Mexico,Sandoval,35.2872,-106.6981,96159.0,358.0,polygon,87124 87121 87144 87174,1840108239
"October 10, 2019",Minneapolis,MN,Target Center,Negative,-14,Minnesota,Hennepin,44.9635,-93.2678,2926757.0,3019.0,polygon,55403 55409 55408 55407 55406 55405 55404 55402 55401 55430 55454 55455 55418 55419 55410 55411 55412 55413 55414 55415 55416 55417 55440 55458 55459 55460 55467 55470 55472 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488,1840043593
"October 11, 2019",Lake Charles,LA,James E. Sudduth Coliseum,Positive,12,Louisiana,Calcasieu,30.2022,-93.2141,153633.0,688.0,polygon,70605 70607 70601 70615 70602 70606 70609 70612 70616 70629,1840105428
"October 17, 2019",Dallas,TX,American Airlines Center,Positive,2,Texas,Dallas,32.7936,-96.7662,5733259.0,1524.0,polygon,75287 75098 75233 75254 75251 75252 75253 75032 75238 75232 75230 75231 75236 75237 75234 75235 75088 75087 75243 75246 75244 75249 75248 75051 75166 75210 75211 75212 75214 75215 75216 75217 75218 75219 75390 75182 75229 75228 75220 75223 75225 75224 75227 75226 75241 75240 75247 75270 75043 75207 75206 75205 75204 75203 75202 75201 75209 75208 75019 75221 75222 75242 75250 75260 75262 75263 75264 75266 75267 75277 75283 75284 75285 75301 75303 75312 75313 75315 75320 75336 75339 75342 75354 75355 75356 75357 75358 75359 75360 75367 75370 75371 75372 75373 75374 75376 75378 75379 75380 75382 75389 75392 75393 75394 75395 75397 75398,1840089683
"November 1, 2019",Tupelo,MS,BancorpSouth Arena,Positive,19,Mississippi,Lee,34.2691,-88.7318,45231.0,228.0,polygon,38804 38801 38826 38802 38803,1840044890
"November 4, 2019",Lexington,KY,Rupp Arena,Positive,14,Kentucky,Fayette,38.0423,-84.4587,315939.0,438.0,polygon,40505 40506 40508 40509 40504 40507 40502 40503 40517 40516 40513 40511 40510 40515 40514 40512 40522 40523 40524 40526 40533 40536 40544 40546 40550 40555 40574 40575 40576 40577 40578 40579 40580 40581 40582 40583 40588 40591 40598,1840108118
"November 6, 2019",Monroe,LA,Monroe Civic Center,Positive,10,Louisiana,Ouachita,32.5183,-92.0775,115462.0,637.0,polygon,71209 71203 71202 71201 71207 71210 71212 71213 71217,1840105436
"November 14, 2019",Bossier City,LA,CenturyLink Center,Positive,10,Louisiana,Bossier,32.5227,-93.6667,68554.0,608.0,polygon,71112 71111 71110 71113 71171 71172,1840033697
